종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2795,아모레G우,KOSPI,,17450,-250,-1.41,17600,17750,17350,21901,382481800,1.12444E+11,6443770
2800,신신제약,KOSDAQ,중견기업부,6930,-70,-1,6870,6990,6870,44123,305436380,1.05132E+11,15170500
2810,삼영무역,KOSPI,,15650,0,0,15500,15650,15400,12732,197800150,2.89008E+11,18466948
2820,SUN&L,KOSPI,,5470,-120,-2.15,5500,5530,5410,8707,47593880,68965699830,12607989
2840,미원상사,KOSPI,,206500,0,0,206500,206500,204500,1028,210940500,1.02631E+12,4970000
2870,신풍제지,KOSPI,,2395,-80,-3.23,2405,2470,2350,283963,677998140,83726086500,34958700
2880,대유에이텍,KOSPI,,1495,-125,-7.72,1625,1640,1475,4775811,7322823130,1.67233E+11,111861577
2900,TYM,KOSPI,,1780,0,0,1755,1805,1755,1459436,2602807670,2.66723E+11,149844591
2920,유성기업,KOSPI,,3270,-10,-0.3,3205,3280,3195,55525,179612400,84848325000,25947500
2960,한국쉘석유,KOSPI,,277500,3000,1.09,274500,277500,274000,1124,309200000,3.6075E+11,1300000
2990,금호건설,KOSPI,,10850,-300,-2.69,11150,11150,10800,160530,1747712350,3.97478E+11,36633924
2995,금호건설우,KOSPI,,30100,-250,-0.82,30350,30350,29850,819,24629050,8797206600,292266
3000,부광약품,KOSPI,,12650,-150,-1.17,12700,13000,12500,568662,7211830100,8.98948E+11,71063049
3010,혜인,KOSPI,,6210,0,0,6150,6320,6090,116648,723621920,78946158870,12712747
3030,세아제강지주,KOSPI,,119000,8000,7.21,111000,121000,110000,25573,3006102000,4.92857E+11,4141657
3060,에이프로젠제약,KOSPI,,981,-5,-0.51,986,1005,979,1030496,1018933052,3.91003E+11,398575767
3070,코오롱글로벌,KOSPI,,24750,-550,-2.17,24950,25300,24300,53264,1317717950,6.23958E+11,25210438
3075,코오롱글로벌우,KOSPI,,31950,-300,-0.93,32250,32250,31700,931,29795100,9994055850,312803
3080,성보화학,KOSPI,,4290,25,0.59,4255,4310,4170,87421,370476710,85885800000,20020000
3090,대웅,KOSPI,,30450,-350,-1.14,30800,31000,30250,87782,2689368100,1.77042E+12,58141980
3100,선광,KOSDAQ,우량기업부,55500,100,0.18,55400,55500,54700,188382,10387818800,3.663E+11,6600000
3120,일성신약,KOSPI,,74700,-1100,-1.45,75800,75800,74700,1024,76679600,1.98702E+11,2660000
3160,디아이,KOSPI,,7490,-400,-5.07,7650,7790,7410,452996,3428187670,2.35911E+11,31496785
3200,일신방직,KOSPI,,111500,500,0.45,110500,111500,106500,12964,1414169500,2.676E+11,2400000
3220,대원제약,KOSPI,,15800,-200,-1.25,15950,16150,15750,177428,2815493300,3.35352E+11,21224823
3230,삼양식품,KOSPI,,77400,-2200,-2.76,79000,79400,77300,39391,3063757600,5.83055E+11,7533015
3240,태광산업,KOSPI,,975000,18000,1.88,963000,975000,951000,726,699219000,1.08557E+12,1113400
3280,흥아해운,KOSPI,,3030,15,0.5,2970,3100,2940,957784,2885910780,7.28487E+11,240424899
3300,한일홀딩스,KOSPI,,13200,-100,-0.75,13250,13300,13100,11213,147842900,3.80368E+11,28815780
3310,대주산업,KOSDAQ,중견기업부,2315,-50,-2.11,2395,2395,2275,663845,1545553585,81933290250,35392350
3350,한국화장품제조,KOSPI,,29250,-300,-1.02,29050,29450,28650,21014,608876000,1.32561E+11,4532000
3380,하림지주,KOSDAQ,우량기업부,9060,0,0,9000,9090,8910,125034,1123356830,8.36617E+11,92341820
