종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,,2019
287410,유안타제3호스팩 ,2075,0,0,,,,,0,0,,
288620,에스퓨얼셀 ,18700,-800,-4.1,325,57.54,5246,3.56,50,0.27,,
289010,아이스크림에듀 ,8240,-10,-0.12,990,8.32,4349,1.89,0,0,,
289080,SV인베스트먼트 ,1920,0,0,157,12.23,1115,1.72,120,6.25,,
290120,대유에이피 ,8850,260,3.03,981,9.02,3796,2.33,200,2.26,,
290270,휴네시온 ,5140,-40,-0.77,123,41.79,2319,2.22,50,0.97,,
290380,대유 ,11900,-150,-1.24,838,14.2,6724,1.77,220,1.85,,
290550,디케이티 ,13350,-550,-3.96,,,3516,3.8,0,0,,
290650,엘앤씨바이오 ,23550,-150,-0.63,830,28.37,7252,3.25,0,0,,
290660,네오펙트 ,4870,-130,-2.6,,,2358,2.07,0,0,,
290670,대보마그네틱 ,23900,-1000,-4.02,628,38.06,4605,5.19,0,0,,
290720,푸드나무 ,16750,-750,-4.29,1058,15.83,7046,2.38,100,0.6,,
290740,액트로 ,11200,-100,-0.88,1656,6.76,6361,1.76,400,3.57,,
291210,한국제7호스팩 ,2065,-5,-0.24,,,,,0,0,,
291230,삼성스팩2호 ,2060,0,0,,,,,0,0,,
293480,하나제약 ,22900,-350,-1.51,1974,11.6,12678,1.81,280,1.22,,
293580,나우아이비캐피탈 ,4760,135,2.92,279,17.06,7238,0.66,150,3.15,,
293780,압타바이오 ,19350,-700,-3.49,,,2112,9.16,0,0,,
294870,HDC현대산업개발 ,30450,-600,-1.93,5232,5.82,41976,0.73,500,1.64,,
297570,알로이스 ,2560,-45,-1.73,,,,,0,0,,
298000,효성화학 ,157500,-1000,-0.63,6412,24.56,115120,1.37,1000,0.63,,
298020,효성티앤씨 ,164500,500,0.3,4919,33.44,93276,1.76,1000,0.61,,
298040,효성중공업 ,27750,-350,-1.25,204,136.03,97004,0.29,0,0,,
298050,효성첨단소재 ,110500,1500,1.38,,,86118,1.28,0,0,,
298380,에이비엘바이오 ,21350,250,1.18,,,3520,6.07,0,0,,
298690,에어부산 ,7170,20,0.28,430,16.67,2925,2.45,100,1.39,,
299170,IBKS제10호스팩 ,2075,5,0.24,,,,,0,0,,
299660,셀리드 ,26500,-800,-2.93,,,1644,16.12,0,0,,
299900,위지윅스튜디오 ,16500,450,2.8,772,21.37,5014,3.29,0,0,,
299910,베스파 ,16600,50,0.3,,,11347,1.46,0,0,,
300080,플리토 ,21500,150,0.7,,,,,0,0,,
300120,라온피플 ,16800,1450,9.45,772,21.76,3194,5.26,0,0,,
300720,한일시멘트 ,99400,900,0.91,12967,7.67,209463,0.47,4500,4.53,,
302430,이노메트리 ,31350,-250,-0.79,1498,20.93,10023,3.13,200,0.64,,
303030,지니틱스 ,2820,-100,-3.42,,,,,0,0,,
